Topic,Word,P,Label,CountryTopic
16,environmental,0.00794872,Construction and infrastructure projects,CA_16
16,researcher,0.007947734,Construction and infrastructure projects,CA_16
16,level,0.007199488,Construction and infrastructure projects,CA_16
16,satellite,0.006526461,Construction and infrastructure projects,CA_16
16,population,0.006437532,Construction and infrastructure projects,CA_16
16,rate,0.006398644,Construction and infrastructure projects,CA_16
16,lead,0.006342746,Construction and infrastructure projects,CA_16
16,site,0.005796595,Construction and infrastructure projects,CA_16
16,developer,0.005715229,Construction and infrastructure projects,CA_16
16,space,0.00548624,Construction and infrastructure projects,CA_16
